Materia,EAD,Relación 1,Relación 2,Relación 3,Relación 4,Relación 5,Relación 6,Relación 7,Relación 8,Relación 9,Relación 10
3D Rigging,no,Diseño de Juegos Digitales,Diseño de Personajes,Animación 3D,Modelado Orgánico 3D ,,,,,,
Animación 2D,no,Ilustración,Observación,Guión Audiovisual (Storyboards),,,,,,,
Animación 3D,no,Observación,Guión Audiovisual (Storyboards),Animación 2D,,,,,,,
Arquitectura de la Información,sí,Métodos de Diseño,Narratología y construcción de discurso,Señalética y Diseño Wayfinding,,,,,,,
Arquitectura de Sistemas,potencial,Diseño de Interacción,Diseño de Interfaces,,,,,,,,
BIM,sí,Dibujo Planimétrico 2D,Dibujo Planimétrico 3D,Diseño Paramétrico,,,,,,,
Cine y Video,no,Fotografía,Iluminación,Guión Audiovisual (Storyboards),Narratología y construcción de discurso,,,,,,
Color,sí,Observación,Fundamentos de la Física,Fundamentos de la Sicología,,,,,,,
Construcción Formal,sí,Fundamentos de Geometría,Fundamentos de la Física,Fundamentos de los Materiales,,,,,,,
Dibujo Planimétrico 2D,sí,Construcción Formal,Fundamentos de Geometría,,,,,,,,
Dibujo Planimétrico 3D,sí,Construcción Formal,Dibujo Planimétrico 2D,,,,,,,,
Diseño de Agentes Inteligentes,potencial,Diseño UX para IA,Diseño de Interfaces Aurales,Observación,,,,,,,
Diseño de Alimentos,potencial,Fundamentos de la Sicología,Fundamentos de la Química,Diseño para la Celebración,,,,,,,
Diseño de Ambientes Inteligentes,no,Métodos de Diseño,Observación,Diseño de Interfaces Aurales,Diseño de Interacción,,,,,,
Diseño de Dispositivos Inteligentes,no,Métodos de Diseño,Arquitectura de la Información,Diseño de Interfaces,Diseño de Interacción,Diseño de Información (Infoviz),,,,,
Diseño de Economía Circular,potencial,Diseño para la Sostenibilidad Social,Teoría Crítica del Diseño,Observación,Diseño para la Transición,Métodos Exploratorios,,,,,
Diseño de Editorial Digital,sí,Observación,Diseño Gráfico,Tipografía,Narratología y construcción de discurso,,,,,,
Diseño de Espacios Urbanos Sostenibles,potencial,Observación,Diseño de Instrumentos para la Investigación,Métodos de Codiseño,Diseño de Microhabitabilidad,Diseño para la Sostenibilidad Social,Diseño Inclusivo y Accesibilidad,,,,
Diseño de Información (Infoviz),potencial,Observación,Arquitectura de la Información,Tipografía,Ilustración,Fundamentos de Computación,Programación Creativa,,,,
Diseño de Instrumentos para la Investigación,sí,Observación,Métodos de Diseño,Fundamentos de la Sicología,Fundamentos de las Matemáticas,,,,,,
Diseño de Interacción,sí,Observación,Arquitectura de Sistemas,Diseño de Interfaces,Arquitectura de la Información,Métodos de Diseño,Métodos Exploratorios,,,,
Diseño de Interfaces,sí,Observación,Tipografía,Fundamentos de la Sicología,Usabilidad,Diseño Inclusivo y Accesibilidad,,,,,
Diseño de Interfaces Aurales,potencial,Observación,Arquitectura de la Información,Métodos de Diseño,Métodos de Codiseño,Diseño Inclusivo y Accesibilidad,Diseño UX para IA,,,,
Diseño de Juegos,sí,Observación,Fundamentos de la Sicología,Fundamentos de las Matemáticas,Guión Audiovisual (Storyboards),Diseño de Sistemas de Recompensa en Juegos,Diseño Gráfico,Diseño de Objetos,Diseño de Interacción,,
Diseño de Juegos de Mesa,sí,Observación,Diseño de Juegos,Diseño de Objetos,,,,,,,
